id,clean_comment,Label_API,Person_1,Person_2,emotion
801,hay và ý nghĩa quá .... rất may tôi thấp thoáng tôi trong 5 điều trên mà suốt đời tôi vật vã luyện tập đó là nghi lực,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
802,rất hay và ý nghĩa 💪,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
803,"phải hiểu mình là ai, và tự lui khi gặp cảnh khó khăn trong thời đại dịch covid.","fear, sadness, other","fear, sadness, other","fear, sadness, other","fear, sadness, other"
804,"xin cảm ơn nhiều, chỉ dẫn hay lắm ạ","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
805,thông điệp hay giọng đọc mà chuẩn nữa thì tuyệt,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
806,cảm ơn tg bài của bạn quá tuyệt! (đối với tôi) xin cảm ơn.,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
807,giả ngốc thì bên kia khinh nhờn lộ ra cái cần phải có . giả bạc nhược mít ướt bên kia khinh thường xuất ra cái xấu . ta hành động . nhờ vậy mới bắt được kẻ ẩn mình,"anger, disgust, surprise, other","anger, disgust, surprise, other","anger, disgust, surprise, other","anger, disgust, surprise, other"
808,"xin chào anh trí cùng team đã cùng anh tạo nên video này! em từng là một nạn nhân của blhd, và cũng là fan của anh mấy năm nay, tuy nhiên về những gì mà anh muốn truyền tải ở đầu video thì đối với em hướng đi không đúng lắm, em đã xem hết video của anh và em có 1 số ý kiến cá nhân như sau: thứ nhất: không phải kẻ bắt nạt nào cũng có sự tổn thương đâu anh ạ, họ đang làm việc mà họ thấy vui và họ cho đó là đúng mà anh . em chưa từng được bất kì một kẻ bắt nạt nào xin lỗi cả, vì họ thấy họ không có lỗi, lỗi ở em! thứ 2: cái việc mà xã hội họ vào chỉ trích những người đã tiếp tay cho việc đó là việc đương nhiên, thật ra nó cũng chỉ xảy ra trong 1tgian thôi . nhưng đứa trẻ đã chết, nếu còn sống, cả cuộc đời sau này của nó sẽ luôn khiếp đảm về cái khoảng thời gian đáng lẽ phải tươi đẹp ấy . em bây giờ đã đủ bình tĩnh và trưởng thành để khi nhìn lại quãng thời gian kinh hoàng ấy, em đã biết phân biệt đúng sai phải trái . em biết thắng làm vua thua làm giặc thôi, nếu không đủ mạnh mẽ thì sẽ để bị dìm chết như vậy . nhưng em vẫn thấy buồn khi bên anh nói về việc cần bao dung cho bên gây ra chuyện đó khi vừa mới mở đầu video . có lẽ anh chưa từng là nạn nhân, anh chưa hiểu cảm giác muốn chết không chết được, muốn sống nhưng không biết phải sống như thế nào mới đúng đó . vậy nên em xin phép dislike video này của anh . tìm ra nguyên nhân gốc rễ là đúng anh ạ, nhưng đó không phải là lí do để kẻ bắt nạt được biện hộ, đã sai là phải chịu hậu quả . trong 1 câu chuyện bắt nạt, tất cả những người bàng quan đều có lỗi cả, vậy nên người chưa từng được sống thực sự trong suốt những năm 15,16,17,18t như em có lẽ cũng có chút tư cách nói lên những lời trên . người chết cũng chết rồi, hãy để cho họ được ngủ yên . em cảm ơn!","sadness, anger, disgust, fear","sadness, anger, disgust, fear","sadness, anger, disgust, fear","sadness, anger, disgust, fear"
809,"em nằm trong nhóm 4,5 và 3. từ cấp 1 đến cấp 2, em chọn cách im lặng để đảm bảo sự an toàn cho mình, mặc dù em luôn an toàn nhưng em luôn cảm thấy day dứt vì em khi đặt mình vào hoàn cảnh của người bị bắt nạt, em cũng họ thấy họ thật đáng thương.sau này em chuyển qua việc báo với thầy cô, nó vẫn giữ cho em sự an toàn ở một mức độ nào đó mà vẫn đảm bảo an toàn cho những nạn nhân xấu số kia . tuy vậy em nhận ra những kẻ gây ra bạo lực là những thành phần rất cá biệt rồi, chúng chẳng sợ bất cứ hình phạt nào hết, những bản kiểm điểm, vài ba lần đuổi học cũng chẳng khiến chúng nó dừng lại . vì vậy, đến khi lên cấp 3, em đã đi đánh nhau để bảo vệ những nạn nhân, em đã chứng kiến quá nhiều những tổn thương của những người bị bắt nạt nên em buộc phải hành động thôi . em đánh nhau rất nhiều và bị bản kiểm điểm cũng nhiều không kém, hồi đó chắc có mỗi mình em học lớp chọn là đi đánh nhau thôi . mặc dù có bị gọi phụ huynh và bị đánh bầm dập nhiều lần nhưng em không hối hận, ít nhất là nhờ có em mà bọn đầu gấu trong trường cũng em rè . em cũng không phải chứng kiến những người bạn của em khốn khổ vì bị bạo lức nữa . hồi đó thành tích mà em thấy tự hào nhất của em không phải là mấy cái bẳng khen, học sinh giỏi, huy chương...mà nó là em là đứa duy nhất trong trường dám tung cước thẳng vào mặt thằng đầu gấu nhất trường: d (mặc dù sau đó bị đánh bầm dập) dù sao thì đó cũng là thời trẻ trâu của em, có nhiều hành động hơi thiếu suy nghĩ nhưng ít nhất khi nhìn lại, em không cảm thấy hối tiếc vì những năm tháng cấp 3 đó","fear, anger, disgust, other","fear, anger, disgust, other","fear, anger, disgust, other","fear, anger, disgust, other"
810,"em cũng từng bị bắt nạt và không biết làm gì . bây giờ em cũng có con gái nhỏ, xem tới đoạn bé kin trả lời “ stop! ”, muốn rớt nước mắt luôn . cảm ơn anh trí ❤","sadness, fear, other","sadness, fear, other","sadness, fear, other","sadness, fear, other"
811,"em đang học đại học và chơi cùng 1 nhóm bạn . thật sự lúc trước (hồi cấp 2) em là một trong những người hiếm thôi có thể vừa chơi được với bên bắt nạt và bên bị bắt nạt, vốn dĩ là vì em chứng kiến hầu hết những bạn bị bắt nạt đều rất hiền lành và tốt tính thế nên họ mới bị chọn làm mục tiêu bắt nạt . tận bây giờ khi trong môi trường đại học, khi sự việc blhđ này đang rất nóng hổi thì 2 người bạn của em lại ""khoe thành tích"" blhđ của mình lúc còn học cấp 2.3, thật sự em cảm thấy kinh tởm với hành động đó khi họ kể nó như sự thành công và vui mừng: ""may mà đứa đó nó không tôi * s * tôi"". với một môi trường đại học quốc tế mà em đang học thì em cũng không bất ngờ khi có những người từng trải qua blhđ nhưng cười đùa và thích thú với ""chiến tích"" của mình thì thật ghê tởm.","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise"
812,"nguồn gốc của việc bạo lực học đường của anh trí đến từ sự ghen tị tự ti về hoàn cảnh gia đình, sự sợ hãi khi bị cộng đồng mình chơi cô lập","fear, sadness, anger, disgust","fear, sadness, anger, disgust","fear, sadness, anger, disgust","fear, sadness, anger, disgust"
813,"một lần khi học cấp 2 em bị mời phụ huynh, lúc mẹ lên gặp gv thì chưa chào hỏi gì cô đã nói một tràng dài đàng đẵng . nói xong thì cô mặt đỏ bừng tức lắm rồi, nhưng mẹ rất bình tĩnh trả lời cô rằng:"" góp ý của cô thì em đã nghe, nhưng con em thì em vẫn tin ""lúc đó em biết cái cách mà mẹ bảo vệ em đỉnh như thế nào","sadness, surprise, other","sadness, surprise, other","sadness, surprise, other","sadness, surprise, other"
814,"clip của chú rất hay và có ích ạ 🥰 với gốc nhìn mới và sâu sắc của chú trí, con đã có cái nhìn yêu thương và sáng suốt hơn, đồng thời sẽ tuyên truyền kiến thức này cho mọi người để hiểu rõ hơn về ""bạo lực học đường"" và phòng tránh nó ❤ cháu cũng từng chứng kiến nhìu vụ đó mà thấy mệt lắm chú 😔","enjoyment, sadness, disgust, surprise","enjoyment, sadness, disgust, surprise","enjoyment, sadness, disgust, surprise","enjoyment, sadness, disgust, surprise"
815,"nguyên nhân thì cũng không thể kể, bản thân em vốn cũng tương đối ""meh"" khi phải đối mặt với việc bị bắt nạt . nhưng nếu phải nói về chính gen vậy của em, thì sẽ phải cần thầy quéo làm thêm nội dung về mấy vấn đề kiểu này, vì bạo lực học đường nó nặng như bây giờ một phần không hề nhỏ cũng đến từ đặc thù suy nghĩ và tâm lý của thế hệ của em . dù là mới biết nhưng em cũng thấy lạ ghi gen vậy còn bị gọi là ""generation of snowflake"". nghe cũng đáng để suy nghĩ phết, biết đâu cũng là nội dung hay cho thầy quéo lên ý tưởng.","sadness, fear, disgust, surprise","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise"
816,"em nhận ra được nhiều điều sau khi xem xong clip của anh . khi đối chiều lại với bản thân - một người từng bị bạo lực học đường, em phần nào đồng cảm với những gì mà nạn nhân đang gặp phải . nhưng nếu suy nghĩ một cách đa chiều hơn, có lẽ những kẻ bạo lực ấy họ cũng có vết thương riêng trong lòng . và đúng như anh trí nói:"" họ cũng rất cần những sự nâng đỡ và chữa lành""","sadness, fear, disgust, other","sadness, anger, fear, disgust","sadness, anger, fear, disgust","sadness, anger, fear, disgust"
817,"những chiếc video của anh quéo thật sự rất hay và bổ ích . nhưng thực sự hiện nay có rất ít người chịu bỏ ra vài phút của mình để cập nhật những thông tin bổ ích như vậy kể cả gia đình em . em đã có nhiều lúc rất áp lực với những thành tích mà bố mẹ đặt ra . bản thân mình không thể nhưng vẫn cố làm vì bố mẹ . nhiều lần em có chia sẻ một vài clip ngắn của anh quéo cho bố mẹ, rồi cùng ngồi xuống tâm sự với bố mẹ em về những dự định của mình trong tương lai . nhưng rồi họ lại bác bỏ, họ chỉ cần em theo ý của họ là được, nhiều lúc em cảm thấy lời nói của mình không có giá trị và dần mất đi sự tự tin của mình . hi vọng là những chiếc video như thế này sẽ được nhiều người biết đến để những người bạn có hoàn cảnh giống em sẽ được tốt hơn phần nào . còn bản thân em cũng phải cố gắng rèn luyện cho mình những kĩ năng giao tiếp để thuyết phục được bố mẹ . em cảm ơn ❤","sadness, anger, fear, other","sadness, anger, fear, disgust","sadness, anger, fear, disgust","sadness, anger, fear, disgust"
818,bé gái thật trưởng thành kiểu gen của cha mẹ! bé cưng chịu không nổi!,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
819,"nhiều khi chả làm gì cũng bị bắt nạt, trầm mặc ít nói cũng bị kháy đểu, xấu tí cũng bị kháy đểu, nói với thầy cô giải quyết thì lại đâu vào đấy, đến lúc mình đấm nó thì tội lỗi lại đổ vào mình 😂","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise","sadness, anger, disgust, surprise"
820,"trong các loại tổn thương, tổn thương tâm lý là nặng nhất ạ😢","sadness, fear","sadness, fear","sadness, fear","sadness, fear"
821,nguồn gốc bạo lực của anh trí là lòng đố kị và thích chiến tích (em fan cũng được 2 năm rồi) mong là đúng 😊,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise"
822,"năm cấp 1 tôi là 1 anh hùng . tôi không nhận ra ngoại hình của mình rất ""tệ"" cho đến 3 năm gần đây tôi là nạn nhân của body shaming.","sadness, disgust, fear","sadness, fear, disgust, surprise","sadness, fear, disgust, surprise","sadness, fear, disgust, surprise"
823,"""đoán nguồn gốc bạo lực: thể hiện bản thân (những bạn thấp nhất hay đẹp zai nhất sẽ được cả lớp chú ý nhiều, suy ra khi thể hiện như vậy thì sẽ phe hơn)"" yeah boi:"")","fear, anger, other",other,"fear, anger, other","fear, anger, other"
824,"11:20 em nghĩ những hành vi bắt nạt đó thường bắt nguồn từ: - sự tự ti (tự ti về hoàn cảnh xuất thân, ngoại hình, học lực hoặc sự mặc cảm về chính nhân cách của bản thân) - sự ghen tị (thường là một hệ quả đi kèm với sự tự ti) - sự khao khát được công nhận - sự cô đơn - sự thiếu khả năng đồng cảm hay quan tâm đến cảm xúc của người khác . em đoán vậy 😗","sadness, anger, fear, disgust","sadness, anger, fear, disgust","sadness, anger, fear, disgust","sadness, anger, fear, disgust"
825,"cảm ơn anh vì đã thật lòng nói ra câu chuyện cá nhân và hy vọng những ai từng là người bắt nạt thì sẽ dũng cảm để có thể gặp lại người từng bị bạn làm tổn thương để nói lời xin lỗi, điều này giúp người đó rất nhiều","sadness, anger, disgust, surprise","sadness, enjoyment, surprise, other","sadness, enjoyment, surprise, other","sadness, enjoyment, surprise, other"
826,"em từng là kẻ bắt nạt, hùa theo đám đông, rồi bị bắt nạt, đúng như anh nói, ""nói thì dễ làm mới khó"". cá nhân em cũng dễ phẫn nộ khi thấy những vấn đề này, kể cả bản thân em có lòng thù hận cũng không thể tự mình giải thoát được","sadness, anger, disgust, fear","sadness, anger, disgust, fear","sadness, anger, disgust, fear","sadness, anger, disgust, fear"
827,"có 3 thứ - là điểm tựa để mình luôn vững chãi, không bao giờ bị xô ngã bởi bất cứ điều gì 1. huyệt đan điền: nơi cư trú của thân tâm . tập luyện hàng ngày với bài thở bằng bụng 15-20pngày, trong 21 ngày trở lên để rèn luyện thói quen . khi có vấn đề là sẽ nhớ để vận dụng, vượt qua đau khổ, sợ hãi . 2. hạt giống tam bảo: ta nương tựa vào phật, pháp, tăng để luôn có điểm tựa vững chãi . bởi đó là cái hốc không bao giờ chối bỏ ta, là cái hốc mãi vững bền 3. rèn thân để luôn có sức khỏe thể chất","fear, enjoyment, other","fear, enjoyment, other","fear, enjoyment, other","fear, enjoyment, other"
828,"con bị ám ảnh vì có người bạo hành thậm chí không ngủ được mà cứ cảm thấy sợ hãi kìm nén cả ngày nay muốn khóc mà không khóc được, dù đã thử thiền, nối đất (chạm chân lên mặt đất) nhưng cũng chỉ khá lên được 1 ít, may mà con gặp video này, thực hành 1 lúc tự nhiên con khóc ra được và dễ chịu hơn nhiều lắm, con cảm ơn thầy rất nhiều ạ ♥️","sadness, fear, other","fear, sadness, other","sadness, fear, other","sadness, fear, other"
829,"em hãy nhìn như phật ánh mắt từ mênh mông nhìn người và nhìn vật với chan hòa, cảm thông . em hãy nghe như phật nghe với tình bao la khi lòng không biên giới hiểu, thương đời sâu xa .. em hãy cười như phật nét bao dung, hiền hòa . nụ cười chân, thiện, mỹ làm buồn đau .. xóa nhòa .. ta hãy ngồi như phật trầm hùng tựa núi cao . an nhiên và bất động giữa cuộc trần lao xao .. rồi ta đi như phật bước an lành, thảnh thơi . muôn lối bừng hoa nở làm đẹp thêm cuộc đời . và ta .. thở như phật thở chậm và thở sâu . để nghe từng nhịp sống có bình an, nhiệm mầu . mình là con của phật nhiều, ít nên giống người? nơi nào ta có mặt có niết bàn, an vui .. thích tánh tuệ chung' con xin tri ân công đức của sư thầy và kính chúc sư thầy nhiều sức khỏe và thân tâm an lạc phật sự viên thành.chúc mọi người nhiều sức khỏe thân tâm an lạc-dịch bệnh được tiêu trừ -xin thuòng xuyên niệm phật trong tâm để tâm tri' tĩnh lặng, bình yên 🙏","sadness, enjoyment, other","sadness, enjoyment, other","sadness, enjoyment, other","sadness, enjoyment, other"
830,"nhìn vào cái cây trước gió bão, hãy nhìn phần gốc vững chãi sẽ thấy nó ổn . đừng nhìn phần ngọn sẽ thấy nó lung lay, sắp gãy đổ . khi gặp bão giông, hãy nương tự vào thân tâm - chính là huyệt đan điền, dưới rốn . hít vào thở ra sâu, đưa mọi suy nghĩ, cảm xúc về huyệt đan điền . thở bụng 20-30p là cơn bão tố sẽ qua đi . tập mỗi ngày 1 lần, mỗi lần 20p, trong 21 ngày trở lên, sẽ khiến mình vượt qua tiêu cực.","fear, enjoyment, other","fear, enjoyment, other","fear, enjoyment, other","fear, enjoyment, other"
831,"con cảm ơn thầy! (con sẽ cố nhớ để thực tập mỗi ngày, cuộc sống nhiều áp lực, nhiều lo âu, khi nó xuất hiện thì con cứ bị cuốn theo cơn bão .. mệt mỏi, ngộp thở ..)","fear, sadness, other","fear, sadness, disgust, other","fear, sadness, other","fear, sadness, other"
832,cảm ơn cuộc đời đã cho con được gặp thầy.,enjoyment,enjoyment,enjoyment,enjoyment
833,"còn tạ ơn thầy rất nhiều . con đang bị những cơn bão bay đến tưởng chừng như sẽ bị chúng cuốn hút đi mất, tưởng như không thể chịu nổi . còn đã tìm đến đây và nghe lời dạy của thầy con thấy mình được yên bình . còn đang ở tại đan điền","fear, enjoyment, surprise","fear, enjoyment, surprise","fear, enjoyment, surprise","fear, enjoyment, surprise"
834,nam mô bổn sư thích ca mâu ni phật 🙏 con xin tri ân công đức vô lượng vô biên của thầy thích nhất hạnh nam mô anh di đà phật ,other,other,other,other
835,nam mô anh di đà phật...thầy đã sống cuộc sống đầy ý nghĩa ..,other,other,other,other
836,đây là vấn đề con tìm kiếm đã nhiều năm . nay may mắn gặp lời dạy của ht . 🙏!!!,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
837,thật sự rất đúng và ý nghĩa ở đâu đó vẫn còn 1 con người như tôi may mắn xem được video này,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
838,xin tri ân công đức thầy ạ. bài giảng tuyệt vời quá!,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
839,xin cảm ơn những audio thật ý nghĩa này!,enjoyment,enjoyment,enjoyment,enjoyment
840,con biết ơn sư thầy ❤️✨🌷,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
841,con thành kính tri ân thầy!,"enjoyment, surprise",enjoyment,"enjoyment, surprise",enjoyment
842,nam mô anh di đà phật! con xin cảm ơn thầy!,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
843,nam mô anh di đà phật 🙏con xin tri ân công đức của thầy,other,other,other,other
844,"con bị bận rối loạn lo âu nó làm cho con sống khổ tâm quá thầy ạ ngày nào củng phải suy nghỉ lo lắng nhiều khi sợ đủ thứ nó làm con hoảng sợ ngồi đứng không yên, nó ám con gần chục năm nay rồi 😢","sadness, fear, disgust, other","sadness, fear, disgust, other","sadness, fear, anger, other","sadness, fear, disgust, other"
845,"con luôn sợ hãi 1 đều đã qua, nó trở đi lap đi lặp lại, con từng nghĩ rằng nỗi sợ đó theo con suốt đời, con luôn tin vào sự nhiệm màu của tâm linh, phật pháp","fear, other","fear, other","fear, enjoyment, other","fear, enjoyment, other"
846,con xin chân thành ơn thầy rất nhiều ạ,enjoyment,enjoyment,enjoyment,enjoyment
847,mọi người ơi hãy yêu thương 5 anh em nhà thử thách trốn thoát nhé ❤️,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
848,"nhìn sơ qua thì thấy thành viên của team khá hài hòa, trội về nhiều mảng khác nhau . hoàng là tư duy logic, giải toán và mật mã . tuấn trần và hari là kiểu tạo không khí và gây hài . song luân chắc là thiên về sức mạnh thể chất . trương quỳnh anh là kiểu quan sát tốt, tìm đồ giỏi . còn mảng kiến thức xã hội, văn học nghệ thuật và âm nhạc thì mỗi người biết một chút, không ai trội hơn ai . giờ phải chờ các tập có yếu tố kinh dị thì mới biết ai là người bảo vệ và che chở đồng đội, là tank, xung phong đi đầu và ai nhát gan, dễ bị hù . một team vừa có tank, vừa có người la hét thì chương trình mới vui.","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
849,"hà việt hoàng đúng đỉnh❤ dàn cast cũng rất thông minh, mọi thử thách đúng khó và hấp dẫn . ủng hộ chương trình daì2 chỉ cần đừng đổi anh hoàng là được ak🇻🇳🇻🇳🇻🇳","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
850,"là người xem chương trình nước ngoài rồi mới xem việt nam thì mình thấy ekip làm tốt lắm rồi, lúc đầu mọi người chưa quen, hy vọng mấy tập sau sẽ càng ấn tượng, có cốt truyện liền mạch hơn . cố lên.","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
851,chết cười khi hariwon nói xong đáp án nhân ái,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
852,🙆 ekip đã làm khá tốt . hy vọng mấy tập sau sẽ có cốt truyện để liên kết dữ liệu giữa các phòng luôn . chúc chương trình thành công.,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
853,"chương trình quá ấn tượng, khách mời không biết trước được thử thách như thế nào mà phải tự mày mò suy nghĩ, hấp dẫn và lôi cuốn . mong sẽ còn nhiều tập nữa để xem","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
854,"khen ngợi chương trình rất nhiều nha, bố cục không để hà việt hoàng gánh team như dự đoán ban đầu . dàn cast có đất diễn trong những phòng 2-3-4. nội dung cuốn, mật mã hack não, đúng thứ mình thích luôn . khen nhan sắc của tất cả anh chị ai cũng đẹp . hóng tập 2!!!!!","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
855,"chỉ mới xem vài phút đầu thôi thì mình cảm thấy chương trình khá hay và thú vị, dàn cast rất ổn, thử thách và mật mã các thứ khá khó nhằn tạo cảm giác rất hồi hộp và kích thích cho người xem 👍","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
856,"xem hết 3 mùa show ""trốn thoát khỏi mật thất"" bản trung không ngờ là có bản việt lun mê🥰","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
857,"ủng hộ luân và các bạn đồng đội, mọi người chơi nhiệt tình ghê, mà cũng nể team biên kịch hack não người chơi và người xem đêm khuya thế này 😂","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
858,"hari: chương trình đang mắc 1 sai lầm, là nghĩ ai cũng thông minh hết, như hoàng đó 🤣 công nhận hari bộc trực, dễ thương thiệt","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
859,hi vọng show này sẽ tạo được sức hút mạnh mẽ tựa như những show vận động trước =))),enjoyment,enjoyment,enjoyment,enjoyment
860,"quá hay, việt nam bây giờ cần những game show trí tuệ hay như này chứ không phải là những game nhảm nhí cứ mọc lên như nấm 😌","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
861,bản việt coi cũng cuốn nhưng nếu như tạo được 1 câu chuyện hồi hộp từ đầu tới cuối giữa các phòng như bản trung thì không còn gì tuyệt vời hơn . dàn cast mỗi người 1 cá tính ai cũng dễ thương,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
862,"ủng hộ nhiệt tình . tập 1 rất tuyệt, hy vọng giữ phong độ như thế này và mong việt nam mình sẽ có nhiều chương trình về trí tuệ kết hợp giải trí như thế này nữa . theo dõi bản trung từ mùa 1 nên rất hài lòng với chương trình của việt nam mình lần này . ❤️️️","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
863,"hà việt hoàng thông minh quá . lướt thấy hoàng hơi bất ngờ nên ấn vào xem . mình chưa xem bản trung nhưng thấy bản việt khá ổn dù người chơi chưa quen nên phải đưa ra gợi ý. rất ủng hộ những chương trình vừa tư duy vừa giải trí như thế này, hay và đáng xem hơn rất nhiều mấy chương trình hài nhảm bây giờ.","surprise, enjoyment, other","surprise, enjoyment, other","surprise, enjoyment, other","surprise, enjoyment, other"
864,"ngạc nhiên khi thấy việt hoàng trên 1 show thực tế giải trí nên tò mò đi xem thử . có vẻ đây là bản việt của the great escape bên hàn . mình là fan cứng đã đu qua 4 mùa great escape nhưng thấy bản việt mở màn khá ổn . 1. lúc đầu cứ sợ hoàng phải gánh team vì show kiểu này thiên về tư duy nhiều nhưng biên kịch đã sắp xếp khéo để những thành viên khác cũng có đất chơi . trước giờ quen với hình tượng hoàng bách khoa toàn thư ngầu lòi trên siêu trí tuệ, qua đây mới thấy cu cậu dễ thương ghê . 2. mong chương trình về sau sẽ xây dựng kịch bản có tuyến nội dung xuyên suốt như bản hàn, xem sẽ cuốn hút và kịch tính hơn . bản hàn xem mấy tập kinh dị sợ muốn xỉu.","surprise, enjoyment, other","surprise, enjoyment, other","surprise, enjoyment, other","surprise, enjoyment, other"
865,cảm ơn mọi người đã xem và thích thú với chương trình . hi zọng càng về sau sẽ càng hấp dẫn ah🥰,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
866,làm điều ác tất gặp báo ứng đó là quy luật mà cái giá phải trả là vô cùng đắt đôi khi là cả tính mạng của chính mình 😮,"surprise, fear, disgust","surprise, fear, disgust","surprise, fear, disgust","surprise, fear, disgust"
867,mê nghe kể chuyện trước lúc ngủ .. có 1 tâp nghe gần 1 tuần mới hết được 😂 .. chúc anh và ekip thành nhìu sức khỏe để ra nhìu câu chuyện hay và ý nghĩa 🎉,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
868,nghe chuyện của duy thuận kể mà mê luôn . ❤,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
869,mê anh duy thuận kể chuyện tập nào ra cũng xem không bỏ lỡ 1 tập 🥰,enjoyment,enjoyment,"enjoyment, surprise","enjoyment, surprise"
870,"vừa nghe bên kênh người dẫn đường cõi âm phần mới nhất, vừa suy nghĩ hôm nay thuận sẽ mang đến cho khá thính giả chủ đề gì bên kênh nhà ma . mình luôn giành trọn hết tình yêu thương dành cho duy thuận và toàn bộ ekip của kênh❤","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
871,"em thích khung cảnh phía sau của anh thuận hôm nay, (như những tập đầu vậy!) ❤","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
872,không biết ai lồng tiếng quả ma nữ cười 😂 quả giọng thay vì thấy sợ thì lại thành gây hài ,"surprise, enjoyment","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
873,mình thấy nhà ma để background lúc duy thuận ngồi kể chuyện này rất hay đừng để background giống những ví dụ trước coi nó lag kinh khủng luôn 😢,"sadness, disgust, surprise","sadness, disgust, surprise","sadness, disgust, surprise","sadness, disgust, surprise"
874,"thích background này ghê, giống những tập đầu nhìn cuốn với chân thật cực",enjoyment,enjoyment,enjoyment,enjoyment
875,chào anh duy thuận mãi ủng hộ kênh nhà ma,enjoyment,enjoyment,other,enjoyment
876,bữa nào cũng nghe mới ngủ được dù ngủ ban ngày 🤭,"enjoyment, surprise",other,"enjoyment, surprise","enjoyment, surprise"
877,"ôi là trời thứ 4 nào cũng ngồi hóng trực tiếp mà h này mới xem được, hơi buồn xí 😅nhưng xem h này hấp dẫn li kì rùng rợn 🤣","sadness, enjoyment, surprise","sadness, enjoyment, surprise","sadness, enjoyment, surprise","sadness, enjoyment, surprise"
878,hay ạ ❤,enjoyment,enjoyment,enjoyment,enjoyment
879,"kể về quả báo sát sinh đi anh, mấy cái nghiệp về sát sinh ấy","sadness, fear, surprise","sadness, fear, surprise","sadness, fear, surprise","sadness, fear, surprise"
880,ước gì 1 tuần ra 2 tập .: (((,"sadness, other","sadness, anger, disgust, surprise","sadness, other","sadness, other"
881,hello hehehe lâu lắm rồi em mới được xem kênh của anh duy thuận nha,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
882,lão giám đốc ác quá nên chết là phải rồi ác giả ác báo mà.,"sadness, disgust, anger","disgust, anger, sadness","sadness, disgust, anger","sadness, disgust, anger"
883,"cá nhân em thấy nội dung cốt truyện các tập mà nhà ma cho phát sóng hàng tuần đang dần mất đi sự lôi cuốn và hấp dẫn, cảm giác các tập truyện không còn trau truốt về mặt ý tưởng cũng như nội dung nữa cốt truyện khá rời rạc tính hấp dẫn không còn cao và ấn tượng để lại cho người nghe không còn nhiều như xưa đây là ý kiến cá nhân của em thôi ạ: ((","sadness, disgust, surprise, other","sadness, disgust, surprise, other","sadness, disgust, other","sadness, disgust, surprise, other"
884,giọng kể hay,other,other,other,other
