cid,text,time,author,channel,votes,heart
UgybM3SYmbASYc-kDTh4AaABAg,"ở việt nam có trò chơi, cách chơi giống với nhật bản là vòng quay socola",1 tháng trước,Westlake 696 Lac Long Quan Hotel,UCuBCMMLZH_ua3Lsdfrw5xQw,0,FALSE
,,,,,,
Ugzrg05Crfcb90-HkjF4AaABAg,Chị thử làm những tựa game kinh dị chưa có lời giải đáp đi,4 tháng trước,Yuan Yuan Jun ,UCyjnc4QJghrM4pGxQS5x5lw,3,FALSE
,,,,,,
Ugx3PLG8wBtaZ5B0RQd4AaABAg,"Cái bài đồng dao đầu tiên hồi xưa chỗ em chơi người thì nói :bòn bon si cu la
Còn em thì:bòn bon si cu la sữa hộp gà ốc chó 😂😂😂",2 tuần trước,🥀rose_kit🌹,UCXmEf1Gh89qxSGs8E0EpTiw,0,FALSE
,,,,,,
UgxaXWIJdhMMEeHCnzx4AaABAg,"Hồi mầm non lớp em chơi rồng rắn lên mây nhưng nó lạ lắm, rồng rắn lên mây,có c núc nác,có nhà điểm binh, hỏi thăm thầy thuốc,có nhà hay không, thầy thuốc đang đi ỉa.😂",1 ngày trước,Anh Xuân Lê,UC6b8NQtRhuuJntP-z3VbnrA,0,FALSE
,,,,,,
UgwJzmBilszTOu9ZeFp4AaABAg,"Hồi đó tụi tui nói là vòng tròn sô-cô-la bánh kem sô-cô-la rồi còn gì thì tui cũng ko nhớ nữa, người đứng ở giữa vòng tròn đó đang bịt mắt Á, khi nói xong câu đó là bắt đầu người đứng ở giữa bắt những người kia",3 tuần trước,Dung Nguyen,UCWZfDQCGeQ4lgb_uLyrbrxA,0,FALSE
,,,,,,
UgxI1fDJLZmpVHZiN_R4AaABAg,Tên ở VN nó là:Vòng quay socola:Bài đồng dao:Vòng quay socola bánh bao sữa đậu nành;],1 tháng trước,huong ngo bich,UCbns4UmLZrFfWRk0Q70czYg,0,FALSE
,,,,,,
UgzNnd_Oum1Eng5q3Fl4AaABAg,"halo chị , em mê nghe truyện trùng tang 
chìu an lành chị nhé",4 tháng trước (đã chỉnh sửa),Thanh Trúc Lê Trương,UCVBr4eWwg2zi6DmK0rDnM2Q,1,TRUE
,,,,,,
Ugwf5R60zsnVoor3uht4AaABAg,trò đầu bọn em có chơi nhưng câu nó hài hơn nhiều:)),4 tháng trước,Lê Trang 2009 :)👌,UCh2g4IG_dml44pj_M2AP5eA,0,FALSE
,,,,,,
UgwqW2q-HHA0OcRCKJt4AaABAg,1:30 Hình như là trò tên “Thả đỉa ba ba” thì phải á chị 🙄,4 tháng trước (đã chỉnh sửa),thanh⚘phạmଓ ,UCPXbK4DjVRz-DTS6q1G3k3Q,5,TRUE
,,,,,,
UgxUa_nlDESRq6zkBc14AaABAg,Chị ơi chị làm về vụ án về Lacey Flechter đi ạ nó ở mỹ năm em ko nhớ,4 tháng trước,ミᵒ°αуαтσ丶ѕαтσυ°ᵒ彡,UCzbfStZW-U1rfFxFkzRsgcg,0,FALSE
,,,,,,
Ugw3chVbketMSuQ2P5x4AaABAg,1:38 là vòng quanh sô cô la nha chị,3 tuần trước,Trâm Vy Official,UCJXj6BaSnO6Ii9Fan1z0Rbw,1,FALSE
,,,,,,
UgxU_JKMj2UTCx_JVD14AaABAg,Tưởng không giống mà giống không tưởng =),2 ngày trước,ᴋɪʏᴏꜱʜɪᴍᴀ ᴛᴏꜱʜɪʀᴏᴜ,UCND7_m6-8T2Utu9UDjSwU-w,37,TRUE
,,,,,,
UgxtE01uRaYBl3U7hIt4AaABAg,Wow thú vị quá thật sự không thể tin được 🤓,1 ngày trước,Anh💝Em,UCbYOdwT5jiG5r0wqwcAEvOQ,11,FALSE
,,,,,,
UgzIJ8D5dW6UvtpJbvV4AaABAg,Phi phai sống giải thành Huyền thoại,1 ngày trước,Tường Vy,UC-Bncu5Am3G2boLkaGdjUKA,16,TRUE
,,,,,,
Ugwi8aC2kUVVRxyAYyR4AaABAg,Chỗ vừa lạ vừa quen 😂,2 ngày trước,Minh Huyền,UCIwc-G873I4-awMIrUkw7hA,25,TRUE
,,,,,,
Ugx1E-RN0FbdpxUnCUl4AaABAg,Đây là óng khói ở thung lũng trong bảng đồ fifai lúc trước nó ko có lỗ mà là 1 mặt phẳng ae chúng tui hay bay lên đấm nhau nhưng từ khi game pay to win thì ae tui bỏ game=)),2 ngày trước,ThanhDC,UC9zkSC3CuaVosPOc-8ySaOQ,31,TRUE
,,,,,,
UgzMy-BmqeLp9IyutUl4AaABAg,Đâu phải chị trong game nó nhảy từ đó xuống mà vẫn đủ 200 máu nhảy xuống thì chỉ còn 10 máu nữa thôi mà,1 ngày trước,Quyen Nguyễn,UCdPwzzluh83QmOQNp5Ud5NQ,5,TRUE
,,,,,,
UgxAV8VLU__EJpHKDY94AaABAg,Cái tháp đó giúp tui  leo lên thuyền thoại 5lần rồi 😂,18 giờ trước,Phạm hoàng,UChXLy7Su6jf1EcKoIqb4-Aw,1,FALSE
,,,,,,
Ugwfh1ygZbdhvM1tROh4AaABAg,Ông này nhảy xuống bermuda land r xuống thung lũng lood súng à tui cx muốn nhảy cùng anh ấy😂😂😂,2 ngày trước,JSW_Stick war💚,UCttzu8i9YJ6J6LI-pXkam4w,8,TRUE
,,,,,,
UgxQZqhP25rNXte6xRJ4AaABAg,Chổ này anh em tui từng sinh tử ở đây 😅😅😅😅,2 ngày trước,Doanh Võ Phước,UCAQG6e-CrFX2s4XSnsh92bQ,11,TRUE
,,,,,,
UgzQ0oIeCcRGU-Lnfi14AaABAg,Anh thử nhảy thử chắc vẫn con sống như phi phai 😂😂😂😂,1 ngày trước,说纳米,UCWSzdegIg__THUQMc7hYLsg,4,TRUE
,,,,,,
UgzfmJaeZVRYtmQoACZ4AaABAg,Trong game nhảy xuống không chết còn ngoài đời thì.....,1 ngày trước,C_Đ_T_C_Y_V_T_N_H !!!!!!!,UC5HpLy5tbBg121WNo_CChEQ,1,FALSE
,,,,,,
UgwJDJuwQ1co34xe1Bd4AaABAg,Ơ kìa Loot đồ đi anh zai =)))),1 ngày trước,SUPER PRO 10K®,UChDpXOZWDCH8RNbTzg4j6Cw,7,TRUE
,,,,,,
UgwoLks_JhNFJLROunN4AaABAg,Fi fai sống dai thành bà nội🐧,2 ngày trước,Mèo fall,UCE3GvSh5pvHuArUt9z9QAjg,5,TRUE
,,,,,,
Ugzo3_5Se-i4kxVKmFJ4AaABAg,Tui chơi fi fai hơi ảo tưởng 180 phút gòi😂,1 ngày trước,Khang Điền,UCByorcplgxmNLNSHDgOJMKQ,1,FALSE
,,,,,,
UgwlLRtETba0EKLKjC94AaABAg,Thung lũng kìa😅 đi loot đồ đi😂,1 ngày trước,MuốiMặnMà,UCnCYvBxroHiRyL9AFC1I0MA,2,TRUE
,,,,,,
UgwhzVSzpUEjPIMIond4AaABAg,Fifai sống dai thành huyền thoại,9 giờ trước,SỨC MẠNH CHẤN ĐỘNG CỦA RÂU TRẮNG HUYỀN THOẠI,UCSYji4DnLZEOgz78VKa9Nqw,0,FALSE
,,,,,,
UgwgSDyBfAIvuJMr-Ox4AaABAg,Hình như đấy là cái tháp làm nguội của một nhà máy hạt nhân hay sao ấy,1 ngày trước,Hải Minh-3C1-BD Nguyễn,UCztRDEkPyBGteKhwWRZVVCg,0,FALSE
,,,,,,
UgwQrJhcZGLbODXPrdB4AaABAg,Phi Phai ngoài đời thực à😂,1 ngày trước,HANZO GAMING,UCSIGoo1TjLuV2IWl6TpPoVA,2,TRUE
,,,,,,
UgwF2O704uRX9Lc-MlV4AaABAg,Giống i như trong free fire luôn á😂😂,1 ngày trước,Phut Van,UCd0pH9XBj9c1mc-rlJXJfDA,0,FALSE
,,,,,,
Ugy8D3Qe8EHJytJ89fZ4AaABAg,Trẻ trâu lửa chùa úi cổng USB:),1 ngày trước,nô tỳ,UCiqyrejHs9QDI4WV3XCLCIw,3,TRUE
,,,,,,
Ugjy51IIBmkdj3gCoAEC,cái này ko phải đơn giản. có hồn dẫn dắt người xem như đi lạc vào rừng sâu hoang dã vậy. đỉnh cao của âm nhạc là đây,6 năm trước (đã chỉnh sửa),LA SA,UCaM5SLBJJKgnRRIGwiz48Xg,118,FALSE
,,,,,,
UgiL7keRG38eyXgCoAEC,"Nghe mà cứ ngỡ như anh ta kể chuyện về bộ lạc của mình thời xa xưa. 
Nơi có núi rừng bạt ngàn, con người, muông thú,.. sinh sống trong ấm lo, hạnh phúc. Rồi tới 1 ngày mọi thứ tuột mất tầm tay họ do sự xâm lăng của bộ tộc khác. Họ bị đuổi đi khỏi nơi bình yên đó. 
Những người sống sót trong lúc di cư đã dùng âm nhạc này để kể lại cho con cháu mình nghe về quá khứ.",6 năm trước,Huy,UCeUkJeN6YzP7_F25si5J1oQ,211,FALSE
,,,,,,
UgiHsbP3aaVkRXgCoAEC,"nghe vừa có chút bi tráng, vừa có lòng tự hào dân tộc, vừa thể hiện sức mạnh tộc mình, quá hay. p/s: tên bài này là promentory là nhạc phim, nhưng anh này cover lại thấy hay hơn.",6 năm trước (đã chỉnh sửa),phung giang,UCdDvre6Q1hnV49HWTPuxsOA,24,FALSE
,,,,,,
UgzdHxIHTB-obk7jovB4AaABAg,"tuyệt vời 
đỉnh cao của âm nhạc 
tiến tiêu làm cho người nghe có cảm giác như được trở về với thời núi rừng.thời mà tôi thường vào rừng với ông ngoại để đặc bảy và săn thú.uống nước suối ở trong núi rừng. ngài đó còn đâu.ôi thật là nhớ.nhớ ngoại quá.huhu",3 năm trước (đã chỉnh sửa),Tuấn Nguyễn,UCUQIkfMtA8kkZD18bimcggg,2,FALSE
,,,,,,
UgwkeL1BUmzCAcTNfOd4AaABAg,Nghe xong niềm tự hào dân tộc càng cao,4 năm trước,Điệp Trắng,UCDOeplHlCW6QMdbpVN_jdtQ,0,FALSE
,,,,,,
UgyCET2hd2RK3HQ6zI54AaABAg,Mỗi khi có tâm trạng tôi lại thích nghe bài này  nó đem ta về một thời cổ  xưa của loài người,2 năm trước,Dung Nguyen,UC0amAHl2ZicxHqzW_GyRyNA,1,FALSE
,,,,,,
UgyjCx5DYOGf1fAOQRd4AaABAg,Vừa có oán hận vừa có đau thương vừa có cả nước mắt trong đó vừa có cả tinh thần bất phục của 1 dân tộc,2 năm trước,Gia Bao Hoang,UCVe5TlmxlMiKWJRFHYS7_jw,1,FALSE
,,,,,,
UgxN0uHcQ3rDLRGvwg14AaABAg,Tiến sáo trúc kèm thêm đạo cụ... Đậm sắc dân tộc... Đi vào lòng người....,1 năm trước,Thành Chí,UCWQqsJmtAlSknXKoScV6Bxg,0,FALSE
,,,,,,
UgxXM19jGN1IzFL-gUh4AaABAg,"Nghe như mình đang sống thời kỳ trước công nguyên, bài tiêu ẩn chứa nhiều thứ, rất tuyệt vời",3 năm trước,Tuấn hình vlog,UCxjOg_OB3ejuqme_TGC9gvw,0,FALSE
,,,,,,
UgyjvPulBN2BlFdC38N4AaABAg,Nghe thấy não lòng mà thâm thuý quá. Hẳn là 1 câu truyện rất buồn và đau khổ đã xảy ra sau bài hát.,3 năm trước,Tùng Nguyễn Văn,UCR7gNHN6P5jcZtB4d2e9tiw,1,FALSE
,,,,,,
UgxauLE2bmHONBCLOJZ4AaABAg,Tôi như đang lạc vào một nơi như truyện cổ tích 😌😔 thank you 🙏,1 năm trước,Pei Jin Shang,UC9vZI_W8VYe6XDIEHoYfoog,0,FALSE
,,,,,,
UgyxBWK5ydffZeppKQV4AaABAg,mỗi lần nghe bài Bài lại tự Thả lòng Về nơi riêng một 1 mình tôi và nơi Đó rất Thản lòng... so với cái thế gian này,4 năm trước,Phúc Nguyễn,UCk4dzTS9ZR-QPGtlzRTDHUg,0,FALSE
,,,,,,
UgwdhSUHB0f_p6H9CwN4AaABAg,2020 đẳng cấp nó vẫn là mãi mãi sống theo thời gian 👍,3 năm trước,Tuananh Luong,UC4LLRBY2FrEkrZmuhh7gGEQ,7,FALSE
,,,,,,
UgzZiQzMcT8RI9ucfDF4AaABAg,"Nhạc hay quá ! Quá đẳng cấp, nghe nổi hết da gà . Nổi đau người da đỏ Mochigan khi bị mất lãnh thổ",3 năm trước,phuc Nguyen,UCASluFlxDjDOcCp_4z35GwQ,0,FALSE
,,,,,,
UgzgtgD9Iri1gx-ZdgF4AaABAg,"Đây là nhạc phẩm trong phim The last of the Mohicans , phim lâu rồi  , nhưng rất hay .😊",5 năm trước,TONY WINGS,UCCIgbJP3_OPk_Msmy0BhZzg,1,FALSE
,,,,,,
UgwOF9fM88kYwYscNk54AaABAg,Bị quấn hồn vào tiếng khóc kêu oan của rất nhiều người ...nỗi khổ vạn sầu,4 năm trước,Jin Sirô,UCQOAJTwjS-KQNFIG3d1bFfw,0,FALSE
,,,,,,
UggFB6d_mu7dZngCoAEC,Hay ! Đẳng cấp 👍👍👍 mở bài này mà đi ngủ thì dễ chìm vào giấc ngủ👌😌😌😌😌😝,6 năm trước,Hùng Ng Công,UCLrJpx4UM8VerKLR2BRdgnw,2,FALSE
,,,,,,
UggIO7TFB2EYZngCoAEC,nghe cảm xúc quá. giống như mình đang ở thế giới khác vậy.,7 năm trước,Thảo Jonathan,UCOSDdWSp--SNVT2P9wcEcpA,1,FALSE
,,,,,,
UgjcUvujWWmR7XgCoAEC,"nghe mà cứ nổi gai ốc lên, quá hay, quá hồn!",6 năm trước,Khang Buu,UCgN5o_VTa9Geq4lwXyPuZxQ,3,FALSE
,,,,,,
UgxvroXy_LZKKsPdX6x4AaABAg,Nghe bài này xong..loài người mình nên thức tỉnh..yêu thương thiên nhiên hơn,1 năm trước,Thuận Đô,UChh07SXu5c3YrVL7T9WSd6g,0,FALSE
,,,,,,
UgwIO-G_IbTiweb87NR4AaABAg,Lovely Saigon scenery my friend happy weekend 🧡🙏😊🙏,1 tháng trước,@CityWalksLondonVlog,UCmr-lxBctyy1-9NEuyZM88A,2,TRUE
,,,,,,
UgzwncR__BH5SzmW2dV4AaABAg,very lovely place,1 tháng trước,@stressfreelife82,UCIl5QuQnvpbU6vtQdMXSOqA,1,TRUE
,,,,,,
UgwQ8RL-2Rgn6woAxcB4AaABAg,Hội chợ tour du lịch trong nước và ngoài nước thật hấp dẫn tour đi du thuyền mua một tặng một có lấy quá !👍👍👍,1 tháng trước,@vuisongmoingayomy4367,UCrwWOPfhgeon2YRaBT_RE9A,1,TRUE
,,,,,,
UgyfOa_PIoJYWhJ2Nth4AaABAg,"great walk,
wonderful place",1 tháng trước,@THE_EXPLORER,UCoExLMApVon6EJ8ESt1WgeQ,1,TRUE
,,,,,,
UgwOuGrCD4gYSTqQMtR4AaABAg,Great tour information ..very useful...! I enjoy it a lot! Thanks for sharing my friend👍👍👍,1 tháng trước,@kartikeyawalks6066,UCTQp4msxlTuYGKqObhwUlpA,1,TRUE
,,,,,,
UgyMFEfZ361Cxp3nOwx4AaABAg,"what an interesting foreign tour and travel packages,...",1 tháng trước,@baliwalkaround,UCs5UNBcvHcApmxAuWM6dXNA,1,TRUE
,,,,,,
Ugzl2ZVH4R0r7tBs7b94AaABAg,video chia sẽ cập nhật giá vé du lịch trong nước cũng như ngoài nước rất hữu ích,1 tháng trước,@Dung0309,UC5EzvpyIX9ZZfz5AHhPxEpQ,1,TRUE
,,,,,,
Ugwz-zN8p_FWztxZ6St4AaABAg,"Very Nice Video My Dear 
Have a Happy day ❤👌👌🙏",1 tháng trước,@RelaxLife78,UCbGgmS3IG6MK4TxugCwCxqA,2,TRUE
,,,,,,
UgwQbBsiIs5aH4lLP2l4AaABAg,"Wonderful video my friend , thank you for sharing  , wish you a good day , big like   !",1 tháng trước,@karimedinburgh,UCbAX_mY5yHHqKLDqHWC3h5w,1,TRUE
,,,,,,
UgzrogfNgV5k6U0ozQR4AaABAg,Nice video,1 tháng trước,@grzybydziadek,UCUQD3-hoULl_tHngmJ2DkiQ,1,TRUE
,,,,,,
Ugze3RquqaX9Y6LEgzh4AaABAg,c1: đồng tình😂🤣😅,4 tháng trước,Hai Pham Trung,UC-gRbO7o9SklsZU_vAzAs8Q,15,TRUE
,,,,,,
Ugyny68g_8UIMk76Rqx4AaABAg,"c2: chị dâu tốt lắm á, cậu hãy trân trọng chị ấy nhée",4 tháng trước,Nq Qu Thuc Nhi,UCNwtMvXiesotHTYnaFmpLIQ,9,TRUE
,,,,,,
UgyYPYtlkaAPxUsPQQ54AaABAg,"C1 : Đồng ý , đồng ý👍👍👍👍👍",4 tháng trước,Vy Le thi,UCYzyLR1DjFPcSIuOwucYupg,8,TRUE
,,,,,,
Ugw2ScpCLsD9K9SrRxB4AaABAg,C1 sức sắc lun,4 tháng trước,Tuyet Doan,UCMF9fxfvrF5Tw6-jXa7UsSQ,4,TRUE
,,,,,,
UgyWH_f683ka8XwHb0t4AaABAg,C2 😊 cho chị dâu thật tuyệt vời chị ơi ! Chị mua đôi giày 1 triệu 200 nghìn á để tặng chị dâu là chuẩn quá !!👍👍👍,4 tháng trước (đã chỉnh sửa),Mỹ Ngọc Nguyễn Thị,UC2hjg0-cccqpSwlMeRr6kEg,11,TRUE
,,,,,,
UgwKfg7_vIpJhf3cM454AaABAg,4C thì đã có 3 cái cũ rồi,4 tháng trước,Yến Ngọc,UCDje1-_tK_V6AbLLYiz6Iww,3,TRUE
,,,,,,
UgzFsJ2RmWQZ8_Jymcx4AaABAg,c1 cho chị 1 like nha nhưng hóng drama thì phải xem xét nhiều mặt thì hơi quá,4 tháng trước,TRANG TRƯƠNG,UCxzktrptUK2RcaDZHD8oxYg,5,TRUE
,,,,,,
UgzE3p2zzzdDkr_ejCp4AaABAg,c3: chị yêu luôn đi,4 tháng trước,Nho Phan,UC0iCfufhKBZ1xt6FXmTM6lw,2,TRUE
,,,,,,
UgwtC8sb-2etj2d5St94AaABAg,C3 sao ad đăng lại vậy,4 tháng trước,Ngan To,UCYrFVG_-FgDNd9uEkypReFw,2,TRUE
,,,,,,
UgydtRMrRqCtQIeqYd14AaABAg,mai tui thi òi mn chúc tui ik (//^-<//),4 tháng trước,Le Dat,UCj8vIjMXpz_whGcy-yGu7xQ,3,TRUE
,,,,,,
UgwjQETVF2w5APqQgCB4AaABAg,C1: ừm mình cũng đồng tình 😊😊😊😊,3 tháng trước,꧁༺Kim♥Ngân༻꧂,UCVbFhE-9cBSVExB6B-ckZfg,1,FALSE
,,,,,,
UgyGEr5n4vitl29yr1B4AaABAg,C3: Tròi ơi chị chơi luôn đi chế :)),4 tháng trước,Đào Ngọc Huyền,UCMwXCcvAxDZxxC205gvzMLA,1,TRUE
,,,,,,
UgxP89Hkhn6wg4MfYst4AaABAg,Hi,4 tháng trước,꧁bé bánh Úツ꧂,UC4A-9aFjbhh-3m78M-0hqSg,1,TRUE
,,,,,,
Ugx32_C_lEDIYZFdsc14AaABAg,Đầu🤧😆,4 tháng trước,Ari_yewRuRô🌷,UCFsiPfBANEDIVHnsiBjFusg,1,TRUE
,,,,,,
Ugz852NQL3vcRD814gx4AaABAg,c3 : đăng lại truyện cũ à page,4 tháng trước,Nhi Văn,UCkuLlNYtyKhuQ9UH6xRVeDQ,2,TRUE
,,,,,,
Ugwo_ZsBT_CP5K1xwut4AaABAg,C1: ủa tưởng mấy cmt đó chủ yếu đùa :)???,4 tháng trước,M yyyyy,UCaeksTqUTcYswzBtX_yUZPg,0,FALSE
,,,,,,
UgxMTNwcX88p3XGYcqJ4AaABAg,":)
Ủa mà làm nhiều bánh vậy ai ăn vậy page ?",4 tháng trước,Khánh Vân Nguyễn Ngọc,UCEwWsYctGsb4Ft7d9SiQudg,0,TRUE
,,,,,,
UgwIdYhqbzlW_K7592J4AaABAg,Trễ 6 tiếng:),4 tháng trước,Khánh Vân Nguyễn Ngọc,UCEwWsYctGsb4Ft7d9SiQudg,0,TRUE
,,,,,,
Ugx-_GTSNwn7RXvVLs94AaABAg,C1: đồng tình,4 tháng trước,mê anime,UCpKExSHTWCit6PNBrF393pg,0,TRUE
,,,,,,
UgxAaYOONsGjuEq27vl4AaABAg,Trễ 41 phút=vv,4 tháng trước,Hân Ngọc,UCVKcPsXA3FzUujspi11qkMQ,0,TRUE
,,,,,,
UgzSfoNoKwSaculYxGx4AaABAg,"Tổ Quốc biết ơn các con❤chúc các con luôn mạnh khỏe ,chân cứng đá mềm, bình an ❤❤❤",3 tuần trước,Thị nga Lê,UC8LgR03q32wUr3An1EOcBGQ,149,FALSE
,,,,,,
UgzGGGfP2wlbaSfy26R4AaABAg,Hành động đẹp của các chú bộ đội 😊❤,3 tuần trước,Minh Huyền,UCIwc-G873I4-awMIrUkw7hA,234,TRUE
,,,,,,
UgysHK_RXA9709mVxbh4AaABAg,Tình quân dân trong thời bình và thời chiến được bộ đội thể hiện rõ❤👍,5 ngày trước,Cuong Mai,UC9fCtGfiN2r_4xpbf10mIFg,1,FALSE
,,,,,,
UgxIsRGJP1f4EML9SwF4AaABAg,Xem cảnh này r thì biết bao kỉ niệm ùa về 😢! Đừng nghe người khác nói đi nghĩa vụ là mệt là khổ cực nhưng có được 2 năm kĩ niệm đẹp bên đồng đội được học những cái mới có nhiều bạn mới! 😢,3 tuần trước,Ana Dương,UCLxpBpVMPugnBFdX9hGlzaQ,74,FALSE
,,,,,,
Ugy0CaEBnKYsTkP_Rg94AaABAg,"Năm 2012 tôi cũng đi diễn tập ở Mây Tàu Đồng Nai để 1 tháng sau ra quân, tôi cũng ở như các đồng chí bây giờ, xong 1 tháng sau ra quân tôi cưới luôn con gái chủ nhà chúng tôi đã có 2 đứa con.😁",3 tuần trước,Thonglukka vlog,UCmacL4kXlSDBLlgRvLb0EqA,78,FALSE
,,,,,,
Ugwl5z4bbPVCvjaoi494AaABAg,Đúng là những chú bộ đội vô cùng là có tấm lòng nhân hậu và tốt bụng mà.Đã bt là mk đang ở nhờ nhà dân nên mới giúp đỡ cho người dân ấy chứ.Xin cảm ơn những chú bộ bội dũng cảm đã đứng ra để bảo vệ đất nước để đất nc mới có đc như ngày hôm nay nhà❤️,2 tuần trước,Huy Khanh,UCMtqs9eM7FAOlNu1_hqmcsg,5,FALSE
,,,,,,
UgxTo686MuVbXIR0SHd4AaABAg,Thương lắm nghĩa tình quân và dân,3 tuần trước,Thảo Đậu,UCBAQs2A9H956vtXKjWbF7OA,79,TRUE
,,,,,,
UgzW1bOIs-mWShc5eFB4AaABAg,Chả bức tranh nghệ thuật nào mà đẹp như hình ảnh chú bộ đội VN trên tay khẩu súng mà hành quân cả ❤❤❤ . Nhìn mà xúc động làm sao ấy ❤❤❤,7 ngày trước,Kim Phuong nguyen,UCrXAuIQP1WLPp7iWKrOoUuQ,0,FALSE
,,,,,,
UgwV2NXTudnfV_AjnK54AaABAg,"Bộ đội Việt nam vẫn vậy, mình yêu bộ đội từ khi bé xíu ❤❤❤",3 tuần trước,Ngo Nguyen,UC56vWferMUaI2nDBfgLC8Jg,3,FALSE
,,,,,,
Ugzglb7cRWa8QnCHEwl4AaABAg,Mấy chú bộ đội Dễ thương quá (nhà có đứa em cũng đang đi bộ đội) hy vọng những anh em luôn luôn bình an…❤️❤️,3 tuần trước,Huỳnh Mèo,UCNBx-VYnfif0lMjZSZgj_ug,10,FALSE
,,,,,,
Ugw2dW-yKium9N8sPwp4AaABAg,"Tôi luôn có cái nhìn rất riêng về các anh bộ đội Cụ Hồ
Kính trọng . Yêu thương và gần gũi",3 tuần trước,Thắm Đỗ thị,UCef7W53y9VhsFe3eZD4Nw3Q,0,FALSE
,,,,,,
UgylUKZzodiXMsLn2bF4AaABAg,Một thời đi bộ đội hành quân.ôi h nhớ lại thấy bao kỷ niệm.chúc các đồng chí dồi dào sức khoẻ chân cứng đá mềm nha,3 tuần trước,bao bui nguyen gia,UCwEBVAEXcrZoKvElrNVcrog,15,FALSE
,,,,,,
UgxpzvNu2c4MVkv8orR4AaABAg,Không thể nào tả được cảm giác này ❤❤❤❤,3 tuần trước,Toàn Chí,UCmlLIQYwQprKcNzmq7BFrpg,15,FALSE
,,,,,,
Ugz2CZzH7xP9y5n7LU14AaABAg,Cảm phục các chú bộ đội,3 tuần trước,Điền Thạch,UCiOz3YvgZkBiY4MWbYcoYeg,32,FALSE
,,,,,,
UgwEoJuIS-bNux4ZXDp4AaABAg,Đây là lực lượng dân quý dân thương nhất ❤❤,12 ngày trước,Phong Nguyễn Khánh,UCDejqw4SC8ZDM6wGp7cg8MA,0,FALSE
,,,,,,
Ugwa6hNGSQFKgQHnRIR4AaABAg,Các chú bộ đội có hành động thật đẹp ❤❤,3 tuần trước (đã chỉnh sửa),ᴋɪʏᴏꜱʜɪᴍᴀ ᴛᴏꜱʜɪʀᴏᴜ,UCND7_m6-8T2Utu9UDjSwU-w,3,FALSE
,,,,,,
UgynhB2MAi0TwsUt1md4AaABAg,Vậy sao chúng ta không học hỏi các chú bộ đội.  Người có văn hoá đi đâu cũng có người thương,3 tuần trước,NgocHoang Vo,UCaQAIGJ-WPNshvz1_SrYhFg,8,FALSE
,,,,,,
Ugw8e-98_eP-1236yLd4AaABAg,Đúng là bộ đội cụ Hồ ko làm mọi người thất vọng❤,3 tuần trước,Thịnh Võ,UCPxLD5ymmoIdkdUnnapOsog,2,FALSE
,,,,,,
Ugzbm8cxO2jlXeDCCVB4AaABAg,"Đúng là chuẩn tác phong quân đội, xem clip mà thương và nể phục các bạn lắm",12 ngày trước,Bảo Huỳnh,UCnjtyJ1hN-MXwGV9-RKfJJw,0,FALSE
,,,,,,
